model,i,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time + I(Time^2))p(~wind)pent(~Time)N(~1),60,0.87 [0.829-0.901],0.03 [0.021-0.031],0.03 [0.016-0.758],11235 [9388-13514],8,1507.74140796515,56.8326282640317,1.48807315167215e-13,-6357.0633,113 [95-137]
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time)N(~1),57,0.87 [0.761-0.937],0.02 [0.014-0.047],0.03 [0.017-0.89],10296 [8224-13005],9,1508.58167970112,57.6728999999998,9.7760089827136e-14,-6358.2456,104 [83-131]
Phi(~Time)p(~1)pent(~Time + I(Time^2))N(~1),62,0.89 [0.863-0.904],0.02 [0.021-0.03],0.02 [0.013-0.217],10667 [9003-12700],7,1510.36815174129,59.4593720401726,4.00160408185362e-14,-6352.4167,108 [91-128]
Phi(~Time)p(~Time + I(Time^2))pent(~Time)N(~1),56,0.87 [0.792-0.919],0.03 [0.016-0.05],0.03 [0.017-0.845],10099 [8190-12552],8,1510.45370796515,59.5449282640316,3.83403276030185e-14,-6354.351,102 [83-127]
Phi(~Time)p(~1)pent(~Time)N(~1),32,0.87 [0.821-0.901],0.03 [0.023-0.04],0.04 [0.018-0.079],11345 [9550-13541],6,1510.60090633934,59.6921266382203,3.56198510127076e-14,-6350.1665,115 [96-137]
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),87,0.87 [0.753-0.936],0.02 [0.014-0.05],0.04 [0.015-0.888],10338 [8260-13055],10,1510.62997165109,59.7211919499694,3.51059432426877e-14,-6358.2222,104 [83-132]
Phi(~Time)p(~wind)pent(~Time)N(~1),59,0.87 [0.82-0.901],0.03 [0.023-0.04],0.03 [0.017-0.08],11399 [9597-13600],7,1511.40795174129,60.4991720401724,2.37927376698436e-14,-6351.3768,115 [97-137]
Phi(~Time)p(~wind)pent(~Time + I(Time^2))N(~1),89,0.88 [0.863-0.904],0.03 [0.021-0.03],0.02 [0.013-0.399],10743 [9059-12802],8,1511.43130796515,60.5225282640315,2.3516499525609e-14,-6353.3734,109 [92-129]
Phi(~Time)p(~Time)pent(~Time)N(~1),53,0.88 [0.82-0.921],0.03 [0.018-0.042],0.04 [0.021-0.088],10886 [9023-13209],7,1511.56545174129,60.6566720401725,2.19909365657657e-14,-6351.2193,110 [91-133]
Phi(~Time)p(~Time)pent(~Time + I(Time^2))N(~1),83,0.89 [0.838-0.928],0.02 [0.016-0.035],0.02 [0.014-0.491],10159 [8093-12872],8,1512.03100796515,61.1222282640315,1.74240647489256e-14,-6352.7738,103 [82-130]
Phi(~1)p(~Time + I(Time^2))pent(~Time)N(~1),55,0.92 [0.87-0.947],0.03 [0.018-0.038],0.04 [0.019-0.091],11682 [9688-14161],7,1513.96275174129,63.0539720401725,6.63249062934809e-15,-6348.822,118 [98-143]
Phi(~1)p(~Time + I(Time^2))pent(~1)N(~1),25,0.92 [0.873-0.949],0.02 [0.017-0.035],0.03 [0.015-0.059],12735 [10581-15399],6,1514.08750633934,63.1787266382203,6.23141288973515e-15,-6346.6798,129 [107-156]
Phi(~1)p(~temp + wind + sundur)pent(~1)N(~1),19,0.92 [0.909-0.924],0.02 [0.02-0.029],0 [0-0],13200 [11143-15695],7,1514.32985174129,63.4210720401725,5.52028999475186e-15,-6348.455,133 [113-159]
Phi(~Time)p(~Time + I(Time^2))pent(~1)N(~1),26,0.92 [0.825-0.962],0.02 [0.017-0.036],0.03 [0.015-0.059],12737 [10434-15632],7,1516.10495174129,65.1961720401726,2.27249965258177e-15,-6346.6799,129 [105-158]
Phi(~1)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),85,0.94 [0.9-0.966],0.02 [0.015-0.028],0.02 [0.009-0.308],11297 [8945-14392],8,1517.50490796515,66.5961282640315,1.12851463108072e-15,-6347.2998,114 [90-145]
Phi(~Time)p(~1)pent(~1)N(~1),2,0.88 [0.841-0.913],0.02 [0.019-0.03],0 [0-0.83],10360 [8620-12524],5,1517.78286708075,66.8740873796244,0,-6340.9695,105 [87-127]
Phi(~Time)p(~wind)pent(~1)N(~1),29,0.88 [0.838-0.911],0.02 [0.019-0.031],0 [0-0.448],10471 [8723-12642],6,1518.79060633934,67.8818266382202,0,-6341.9768,106 [88-128]
Phi(~Time + I(Time^2))p(~1)pent(~1)N(~1),3,0.87 [0.821-0.915],0.02 [0.019-0.03],0 [0-0.699],10516 [8733-12737],6,1518.97240633934,68.0636266382203,0,-6341.795,106 [88-129]
Phi(~Time)p(~Time)pent(~1)N(~1),23,0.88 [0.824-0.915],0.03 [0.017-0.037],0 [0-1],10666 [8593-13342],6,1519.55690633934,68.6481266382202,0,-6341.2104,108 [87-135]
Phi(~Time + I(Time^2))p(~wind)pent(~1)N(~1),30,0.87 [0.819-0.916],0.02 [0.019-0.031],0 [0-0.446],10561 [8782-12774],7,1520.41015174129,69.5013720401726,0,-6342.3747,107 [89-129]
Phi(~Time + I(Time^2))p(~Time)pent(~1)N(~1),24,0.87 [0.803-0.918],0.03 [0.017-0.037],0 [0-0.978],10780 [8664-13519],7,1520.82355174129,69.9147720401725,0,-6341.9612,109 [88-137]
Phi(~1)p(~temp + sundur)pent(~1)N(~1),13,0.92 [0.912-0.927],0.02 [0.02-0.028],0 [0-1],12978 [10963-15421],6,1522.75850633934,71.8497266382203,0,-6338.0088,131 [111-156]
Phi(~1)p(~temp + wind)pent(~Time + I(Time^2))N(~1),76,0.87 [0.843-0.893],0.03 [0.027-0.045],0.04 [0.025-0.069],12963 [10925-15441],8,1523.47050796515,72.5617282640317,0,-6341.3342,131 [110-156]
Phi(~1)p(~temp)pent(~Time + I(Time^2))N(~1),70,0.87 [0.841-0.891],0.04 [0.028-0.046],0.04 [0.027-0.069],12839 [10827-15284],7,1523.56095174129,72.6521720401725,0,-6339.2238,130 [109-154]
Phi(~1)p(~temp + wind)pent(~Time)N(~1),46,0.88 [0.858-0.902],0.03 [0.025-0.041],0.04 [0.026-0.062],13277 [11216-15775],7,1524.19125174129,73.2824720401725,0,-6338.5935,134 [113-159]
Phi(~1)p(~temp)pent(~Time)N(~1),40,0.88 [0.857-0.901],0.03 [0.025-0.041],0.04 [0.028-0.062],13162 [11124-15631],6,1524.72870633934,73.8199266382203,0,-6336.0387,133 [112-158]
Phi(~Time + I(Time^2))p(~Time)pent(~Time + I(Time^2))N(~1),84,0.96 [0.838-0.97],0.03 [0.023-0.038],0.07 [0.052-0.104],10538 [8830-12644],9,1526.67517970112,75.7664,0,-6340.1521,106 [89-128]
Phi(~1)p(~Time)pent(~Time + I(Time^2))N(~1),82,0.9 [0.86-0.934],0.03 [0.022-0.045],0.06 [0.045-0.09],10891 [9223-12918],7,1528.16295174129,77.2541720401725,0,-6334.6218,110 [93-130]
Phi(~1)p(~Time)pent(~Time)N(~1),52,0.91 [0.869-0.942],0.03 [0.021-0.042],0.06 [0.045-0.085],11132 [9409-13231],6,1532.82000633934,81.9112266382203,0,-6327.9473,112 [95-134]
Phi(~1)p(~1)pent(~Time + I(Time^2))N(~1),61,0.86 [0.836-0.886],0.04 [0.029-0.048],0.05 [0.038-0.073],12500 [10552-14867],6,1537.73310633934,86.8243266382203,0,-6323.0343,126 [107-150]
Phi(~1)p(~wind)pent(~Time + I(Time^2))N(~1),88,0.86 [0.838-0.887],0.04 [0.029-0.048],0.05 [0.037-0.073],12583 [10617-14971],7,1538.56325174129,87.6544720401726,0,-6324.2215,127 [107-151]
Phi(~1)p(~1)pent(~Time)N(~1),31,0.87 [0.849-0.894],0.03 [0.028-0.044],0.05 [0.04-0.067],12784 [10811-15174],5,1540.51436708075,89.6055873796245,0,-6318.238,129 [109-153]
Phi(~1)p(~wind)pent(~Time)N(~1),58,0.87 [0.85-0.894],0.03 [0.027-0.044],0.05 [0.039-0.067],12856 [10868-15265],6,1541.07810633934,90.1693266382204,0,-6319.6892,130 [110-154]
Phi(~1)p(~temp + wind)pent(~1)N(~1),16,0.91 [0.906-0.92],0.02 [0.02-0.029],0 [0-0],13553 [11444-16109],6,1547.13420633934,96.2254266382204,0,-6313.6331,137 [116-163]
Phi(~1)p(~temp)pent(~1)N(~1),10,0.92 [0.908-0.922],0.02 [0.02-0.029],0 [0-0],13382 [11306-15898],5,1551.14556708075,100.236787379625,0,-6307.6069,135 [114-161]
Phi(~1)p(~Time)pent(~1)N(~1),22,0.96 [0.907-0.986],0.03 [0.023-0.038],0.08 [0.078-0.083],17758 [14871-21268],5,1566.41736708075,115.508587379625,0,-6292.335,179 [150-215]
Phi(~1)p(~sundur + wind)pent(~1)N(~1),7,0.93 [0.921-0.936],0.02 [0.018-0.027],0 [0-0],12304 [10405-14607],6,1593.06280633934,142.15402663822,0,-6267.7045,124 [105-148]
Phi(~1)p(~sundur)pent(~1)N(~1),4,0.93 [0.923-0.937],0.02 [0.018-0.026],0 [0-0],12170 [10297-14442],5,1596.58816708075,145.679387379624,0,-6262.1642,123 [104-146]
Phi(~1)p(~wind)pent(~1)N(~1),28,0.92 [0.916-0.93],0.02 [0.019-0.028],0 [0-1],12745 [10781-15125],5,1608.33086708075,157.422087379624,0,-6250.4215,129 [109-153]
Phi(~1)p(~1)pent(~1)N(~1),1,0.93 [0.918-0.931],0.02 [0.019-0.027],0 [0-0],12609 [10671-14956],4,1610.94412929857,160.035349597451,0,-6245.7958,127 [108-151]
