model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,weightcum,ind_per_ha
Phi(~Time)p(~temp + wind + sundur)pent(~Time)N(~1),0.86 [0.766-0.918],0.02 [0.013-0.038],0.08 [0.059-0.102],8283 [6033-11478],9,495.871232805755,22.9614562540313,7.37773120889985e-06,-2995.1624,0.999948869638028,58 [41-82]
Phi(~Time + I(Time^2))p(~temp)pent(~Time + I(Time^2))N(~1),0.81 [0.654-0.902],0.03 [0.018-0.055],0.08 [0.056-0.117],7870 [5645-11090],9,495.927002805755,23.0172262540312,7.17484506066086e-06,-2995.1066,0.999956044483088,116 [59-233]
Phi(~Time + I(Time^2))p(~Time)pent(~Time + I(Time^2))N(~1),0.69 [0.575-0.811],0.05 [0.022-0.101],0.09 [0.054-0.154],6331 [4383-9301],9,496.420872805755,23.5110962540313,5.60492775512868e-06,-2994.6128,0.999961649410843,60 [43-84]
Phi(~1)p(~wind)pent(~Time + I(Time^2))N(~1),0.79 [0.726-0.838],0.04 [0.025-0.06],0.08 [0.068-0.101],7454 [5358-10487],7,496.47585866571,23.5660821139861,5.45293086271386e-06,-2990.4595,0.999967102341706,83 [50-140]
Phi(~Time + I(Time^2))p(~1)pent(~Time + I(Time^2))N(~1),0.67 [0.563-0.786],0.04 [0.022-0.056],0.08 [0.062-0.116],8329 [5882-11924],8,496.557776551724,23.648,5.2340967774877e-06,-2992.4238,0.999972336438483,55 [39-79]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time)N(~1),0.84 [0.717-0.916],0.02 [0.014-0.04],0.08 [0.058-0.104],8406 [6113-11665],10,496.666132881844,23.7563563301202,4.95806790236747e-06,-2996.4255,0.999977294506386,65 [47-90]
Phi(~1)p(~1)pent(~Time + I(Time^2))N(~1),0.78 [0.724-0.835],0.04 [0.026-0.061],0.08 [0.069-0.101],7356 [5291-10344],6,497.093863839542,24.1840872878174,4.00342662314685e-06,-2987.8011,0.999981297933009,66 [48-91]
Phi(~Time)p(~Time + I(Time^2))pent(~Time)N(~1),0.82 [0.68-0.901],0.03 [0.015-0.059],0.06 [0.033-0.127],10275 [6182-17408],8,497.412516551724,24.50274,3.41379403864692e-06,-2991.569,0.999984711727048,63 [46-88]
Phi(~Time)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),0.78 [0.656-0.862],0.04 [0.021-0.103],0.09 [0.05-0.16],6370 [4438-9293],9,498.116272805755,25.2064962540313,2.40114610491202e-06,-2992.9174,0.999987112873153,58 [38-91]
Phi(~Time)p(~wind)pent(~Time + I(Time^2))N(~1),0.79 [0.686-0.864],0.04 [0.024-0.061],0.08 [0.065-0.106],7467 [5367-10507],8,498.488176551724,25.5784,1.99370415732445e-06,-2990.4934,0.99998910657731,62 [45-86]
