model,i,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time)p(~wind)pent(~Time + I(Time^2))N(~1),89,0.65 [0.375-0.871],0.33 [0.084-0.708],0.12 [0.053-0.236],54 [34-130],8,89.0723425652174,7.4099562575251,0.00451888607537722,-52.197607,7 [4-16]
Phi(~1)p(~sundur + wind)pent(~Time)N(~1),37,0.73 [0.542-0.862],0.31 [0.08-0.704],0.12 [0.075-0.185],56 [34-135],7,89.1079236666667,7.44553735897436,0.00443920350349414,-48.567823,7 [4-17]
Phi(~Time)p(~temp + wind)pent(~1)N(~1),17,0.67 [0.386-0.893],0.24 [0.069-0.564],0.09 [0.056-0.141],64 [39-140],7,89.3022036666667,7.63981735897437,0.00402826180591232,-48.373543,8 [5-18]
Phi(~Time)p(~temp)pent(~Time + I(Time^2))N(~1),71,0.67 [0.383-0.884],0.31 [0.092-0.665],0.12 [0.055-0.23],57 [35-131],8,89.4921795652174,7.82979325752508,0.003663236403636,-51.77777,7 [4-16]
Phi(~Time)p(~Time)pent(~Time + I(Time^2))N(~1),83,0.68 [0.344-0.921],0.29 [0.05-0.793],0.12 [0.034-0.343],61 [34-185],8,89.5554015652174,7.89301525752509,0.0035492489579751,-51.714548,8 [4-23]
Phi(~Time + I(Time^2))p(~1)pent(~Time + I(Time^2))N(~1),63,0.66 [0.329-0.904],0.32 [0.101-0.656],0.12 [0.055-0.231],57 [35-131],8,89.6053975652174,7.94301125752509,0.00346162461221166,-51.664552,7 [4-16]
Phi(~Time)p(~sundur)pent(~Time + I(Time^2))N(~1),65,0.66 [0.386-0.877],0.32 [0.097-0.665],0.12 [0.054-0.233],57 [35-131],8,89.6095185652174,7.94713225752508,0.00345449927809465,-51.660431,7 [4-16]
Phi(~Time)p(~temp + sundur)pent(~1)N(~1),14,0.68 [0.399-0.897],0.23 [0.071-0.545],0.09 [0.06-0.146],67 [40-144],7,89.7859316666667,8.12354535897437,0.00316284193278178,-47.889815,8 [5-18]
Phi(~Time + I(Time^2))p(~temp)pent(~1)N(~1),12,0.68 [0.322-0.919],0.23 [0.073-0.535],0.09 [0.06-0.144],66 [40-143],7,89.8397626666667,8.17737635897437,0.00307884790209387,-47.835984,8 [5-18]
Phi(~1)p(~sundur)pent(~1)N(~1),4,0.76 [0.477-0.92],0.25 [0.042-0.714],0.1 [0.052-0.18],65 [36-181],5,89.8676993076923,8.205313,0.00303614053726536,-41.449073,8 [4-23]
