model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~1)p(~temp + wind + sundur)pent(~Time)N(~1),0.88 [0.855-0.898],0.03 [0.023-0.037],0.05 [0.044-0.067],21567 [18577-25104],8,1915.19049110546,44.1204312495927,1.46054792996991e-10,-9901.775,194 [167-227]
Phi(~1)p(~sundur)pent(~Time + I(Time^2))N(~1),0.86 [0.832-0.882],0.03 [0.028-0.044],0.06 [0.05-0.083],19950 [17167-23250],7,1918.74261744285,47.6725575869741,2.47275665783971e-11,-9896.2094,203 [175-236]
Phi(~Time)p(~temp + wind)pent(~1)N(~1),0.89 [0.856-0.92],0.02 [0.016-0.025],0.01 [0.001-0.083],17826 [14960-21336],7,1920.67241744285,49.602357586974,9.42172956265496e-12,-9894.2796,190 [164-221]
Phi(~Time)p(~temp + wind)pent(~Time)N(~1),0.89 [0.841-0.917],0.02 [0.017-0.029],0.02 [0.006-0.077],18584 [15615-22210],8,1921.52569110546,50.4556312495927,6.14956806367352e-12,-9895.4399,191 [165-222]
Phi(~Time)p(~temp)pent(~1)N(~1),0.89 [0.859-0.922],0.02 [0.015-0.024],0.01 [0-0.173],17303 [14423-20861],6,1923.77714803216,52.7070881762916,1.99501861764959e-12,-9889.163,205 [176-238]
Phi(~Time)p(~temp)pent(~Time)N(~1),0.89 [0.841-0.921],0.02 [0.016-0.028],0.02 [0.003-0.105],18009 [14905-21872],7,1925.14171744285,54.071657586974,1.00840379237832e-12,-9889.8103,191 [165-222]
Phi(~1)p(~temp + sundur)pent(~Time)N(~1),0.88 [0.853-0.896],0.03 [0.024-0.038],0.06 [0.047-0.068],21265 [18322-24744],7,1926.99831744285,55.9282575869741,3.98546411161262e-13,-9887.9537,191 [164-222]
Phi(~1)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),0.9 [0.867-0.926],0.02 [0.018-0.032],0.02 [0.011-0.077],22628 [18948-27116],8,1932.51629110546,61.4462312495928,2.52502769703759e-14,-9884.4493,215 [185-250]
Phi(~Time)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),0.89 [0.82-0.929],0.03 [0.018-0.036],0.02 [0.012-0.07],21919 [18256-26417],9,1933.62067118644,62.5506113305696,1.45362725991107e-14,-9885.3602,177 [146-214]
Phi(~Time)p(~sundur + wind)pent(~1)N(~1),0.86 [0.823-0.891],0.02 [0.019-0.03],0.04 [0.025-0.052],19239 [16456-22566],7,1935.13981744285,64.069757586974,6.8010292164847e-15,-9879.8122,197 [168-233]
