model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time + I(Time^2))p(~sundur)pent(~1)N(~1),0.85 [0.623-0.928],0.05 [0.03-0.091],0.05 [0.026-0.105],524 [336-869],7,226.199963333333,24.7447396045198,2.0423286998513e-06,-327.63934,4 [3-7]
Phi(~1)p(~1)pent(~Time)N(~1),0.86 [0.769-0.916],0.07 [0.035-0.13],0.09 [0.053-0.156],592 [383-962],5,226.235743278689,24.780519549875,2.00611637973201e-06,-323.16203,4 [2-6]
Phi(~Time + I(Time^2))p(~temp + wind)pent(~1)N(~1),0.9 [0.6-0],0.04 [1-0],0 [0-0],428 [428-428],8,226.274354033613,24.8191303047999,1.96775898904212e-06,-329.8417,3 [2-6]
Phi(~Time)p(~wind)pent(~Time)N(~1),0.85 [0.711-0.93],0.06 [0.029-0.132],0.08 [0.034-0.288],539 [351-875],7,226.493293333333,25.0380696045198,1.76372081400308e-06,-327.34602,7 [3-20]
Phi(~1)p(~1)pent(~Time + I(Time^2))N(~1),0.84 [0.74-0.907],0.08 [0.038-0.15],0.09 [0.046-0.216],569 [366-933],6,226.837144876033,25.3819211472195,1.48512642751305e-06,-324.76304,7 [3-16]
Phi(~Time + I(Time^2))p(~1)pent(~Time + I(Time^2))N(~1),0.86 [0.573-0.948],0.07 [0.024-0.167],0.08 [0.019-0.352],512 [334-831],8,226.873394033613,25.4181703047999,1.45845160177474e-06,-329.24266,6 [3-13]
Phi(~Time)p(~1)pent(~Time + I(Time^2))N(~1),0.86 [0.692-0.934],0.06 [0.028-0.136],0.09 [0.024-0.466],539 [351-875],7,226.892053333333,25.4368296045198,1.44490803559618e-06,-326.94725,10 [4-25]
Phi(~1)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),0.83 [0.72-0.897],0.07 [0.029-0.185],0.07 [0.034-0.489],1288 [546-3302],8,227.138964033613,25.6837403047999,1.27709801244177e-06,-328.9771,7 [3-15]
Phi(~1)p(~temp)pent(~Time)N(~1),0.86 [0.773-0.921],0.07 [0.033-0.128],0.09 [0.048-0.17],602 [389-979],6,227.628214876033,26.1729911472195,9.99964905619017e-07,-323.97198,5 [3-11]
Phi(~1)p(~Time)pent(~Time + I(Time^2))N(~1),0.8 [0.695-0.88],0.1 [0.032-0.255],0.08 [0.028-0.367],828 [357-2201],7,227.670983333333,26.2157596045198,9.78808440979209e-07,-326.16832,4 [3-7]
Phi(~Time)p(~temp + wind)pent(~Time)N(~1),0.87 [0.612-0.949],0.05 [0.018-0.156],0.08 [0.003-0.974],530 [331-910],8,227.791654033613,26.3364303047999,9.21497998582735e-07,-328.3244,4 [3-6]
Phi(~Time + I(Time^2))p(~wind)pent(~1)N(~1),0.91 [0.845-0.963],0.06 [0.032-0.118],0.03 [0.012-0.078],476 [317-759],7,227.861683333333,26.4064596045198,8.89790423101434e-07,-325.97762,3 [3-3]
Phi(~1)p(~wind)pent(~Time)N(~1),0.86 [0.769-0.916],0.07 [0.034-0.133],0.09 [0.052-0.157],596 [385-969],6,228.130604876033,26.6753811472195,7.77843373097977e-07,-323.46958,4 [3-7]
Phi(~Time)p(~temp)pent(~Time + I(Time^2))N(~1),0.88 [0.651-0.949],0.05 [0.02-0.13],0.08 [0.004-0.983],522 [326-895],8,228.249724033613,26.7945003047999,7.32868001011767e-07,-327.86634,4 [3-6]
Phi(~1)p(~wind)pent(~Time + I(Time^2))N(~1),0.84 [0.741-0.907],0.08 [0.037-0.152],0.09 [0.045-0.226],573 [369-942],7,228.719703333333,27.2644796045198,5.79390074962968e-07,-325.1196,4 [2-6]
Phi(~Time)p(~wind)pent(~Time + I(Time^2))N(~1),0.85 [0.694-0.933],0.06 [0.028-0.138],0.09 [0.025-0.494],541 [352-880],8,228.734574033613,27.2793503047999,5.75098082893215e-07,-327.38148,4 [3-6]
Phi(~1)p(~temp)pent(~Time + I(Time^2))N(~1),0.84 [0.741-0.912],0.07 [0.035-0.151],0.09 [0.042-0.221],576 [369-947],7,228.849013333333,27.3937896045198,5.43114930184094e-07,-324.9903,4 [2-6]
Phi(~Time)p(~temp + wind + sundur)pent(~1)N(~1),0.84 [0.722-0.918],0.05 [0.027-0.098],0.02 [0.003-0.137],486 [319-789],8,229.140774033613,27.6855503047999,4.69393110093257e-07,-326.97528,4 [2-6]
