date,sundur,temp,wind
2020-05-16,7.578,14.8333333333333,8.61333333333333
2020-05-17,8.111,15.1814814814815,9.54
2020-05-21,9.001,19.8592592592593,9.38
2020-05-22,0.35,21.5703703703704,11.4266666666667
2020-05-26,3.408,15.3388888888889,4.86
2020-05-27,6.659,19.6925925925926,7.24666666666667
2020-05-30,4.974,15.6203703703704,20.1733333333333
2020-05-31,5.955,15.9185185185185,13.5933333333333
2020-06-02,8.684,21.7925925925926,10.98
2020-06-03,3.836,21.3314814814815,9.67333333333333
2020-06-08,5.66,17.5685185185185,7.86
2020-06-09,0,16.8018518518519,10.2333333333333
